남,20,68.0,74.1,175.1
남,20,66.0,78.0,176.9
남,19,69.0,75.5,174.4
남,20,81.0,84.5,173.6
남,20,81.0,88.8,175.1
남,20,75.0,95.1,160.6
남,20,89.0,99.8,182.1
남,20,72.0,91.0,180.9
남,20,57.0,72.0,169.4
남,20,61.0,75.0,173.8
남,20,67.0,82.4,176.5
남,20,61.0,72.0,174.0
남,20,80.0,86.4,175.5
남,20,79.0,91.7,177.7
남,20,85.0,93.5,177.6
남,20,56.0,77.5,165.5
남,20,61.0,82.0,174.3
남,20,66.0,80.0,174.0
남,20,53.0,71.0,165.8
남,20,74.0,84.2,176.5
남,20,69.0,75.5,175.7
남,60,86.0,97.9,176.4
남,19,61.0,74.2,168.6
남,20,60.0,77.0,170.0
남,20,64.0,72.2,178.9
남,20,61.0,74.5,164.0
남,19,72.0,78.3,176.6
남,20,61.0,72.3,174.5
남,20,55.0,69.2,170.0
남,20,66.0,76.6,177.6
남,20,57.0,70.0,166.1
남,19,63.0,77.6,175.5
남,18,62.0,72.2,169.9
남,20,69.0,79.0,171.5
남,20,77.0,85.7,185.8
남,20,66.0,77.4,166.5
남,20,72.0,86.5,173.2
남,20,86.0,98.0,180.6
남,20,76.0,93.0,171.6
남,20,64.0,74.2,171.4
남,20,80.0,95.2,179.2
남,20,79.0,83.7,183.4
남,20,65.0,83.0,175.1
남,20,79.0,95.2,168.0
남,16,63.0,77.5,172.0
남,16,59.0,79.4,165.7
남,16,69.0,79.5,173.6
남,16,56.0,79.3,162.6
남,16,77.0,89.6,174.0
남,16,60.0,72.1,173.8
남,16,58.0,74.0,170.7
남,16,58.0,70.0,175.4
남,16,63.0,72.5,185.2
남,16,52.0,70.9,161.5
남,16,75.0,83.5,173.5
남,16,74.0,88.4,171.8
남,16,83.0,97.2,167.9
남,16,68.0,80.6,173.0
남,16,60.0,74.4,172.1
남,16,80.0,97.4,173.6
남,15,66.0,76.5,171.4
남,16,58.0,71.0,171.0
남,16,78.0,88.7,175.4
남,16,57.0,69.9,179.5
남,16,53.0,70.9,169.0
남,15,56.0,75.5,161.4
남,16,74.0,86.0,175.5
남,16,56.0,70.1,175.6
남,15,63.0,79.0,174.9
남,16,111.0,110.4,181.1
남,16,71.0,86.5,175.6
남,16,67.0,81.4,171.1
남,16,72.0,82.0,172.4
남,16,58.0,70.5,171.0
남,17,62.0,77.5,170.0
남,17,61.0,71.7,172.6
남,17,48.0,67.0,165.1
남,16,59.0,76.5,171.1
남,17,78.0,90.5,172.5
남,17,73.0,81.7,182.8
남,17,54.0,73.2,172.6
남,17,56.0,69.4,171.0
남,17,58.0,75.7,164.4
남,17,53.0,68.5,175.0
남,17,57.0,71.1,174.6
남,17,56.0,69.0,166.1
남,17,80.0,91.1,173.0
남,17,67.0,84.3,174.0
남,16,55.0,72.0,170.6
남,16,61.0,78.3,177.0
남,16,49.0,67.0,162.7
남,16,87.0,99.3,177.0
남,16,55.0,71.0,168.3
남,16,68.0,82.0,163.0
남,16,54.0,71.2,164.3
남,16,77.0,84.5,180.5
남,16,72.0,85.0,178.9
남,16,62.0,77.5,179.0
남,15,58.0,72.8,169.7
남,16,51.0,68.5,162.7
남,16,58.0,72.6,170.6
남,16,75.0,84.1,180.8
남,17,76.0,86.5,178.3
남,17,80.0,87.7,180.1
남,17,68.0,76.0,183.0
남,17,61.0,78.5,174.5
남,17,72.0,90.5,171.7
남,17,63.0,72.5,176.0
남,17,72.0,86.7,172.5
남,17,60.0,74.3,170.2
남,16,65.0,78.0,175.0
남,17,66.0,76.0,167.8
남,17,61.0,74.6,169.6
남,17,60.0,73.5,178.8
남,17,53.0,67.6,170.5
남,17,59.0,70.7,174.4
남,17,67.0,82.5,173.9
남,17,47.0,70.2,161.0
남,17,102.0,101.4,185.1
남,17,52.0,72.0,169.0
남,17,68.0,79.5,180.5
남,17,65.0,76.0,172.5
남,16,70.0,80.3,176.7
남,17,53.0,73.0,168.5
남,17,58.0,72.5,173.5
남,17,51.0,69.0,174.5
남,17,63.0,73.8,171.5
남,17,60.0,79.3,169.4
남,18,56.0,71.7,173.0
남,16,67.0,75.0,186.5
남,17,51.0,69.0,174.4
남,17,69.0,81.0,174.4
남,17,66.0,77.0,184.6
남,16,43.0,65.0,160.7
남,17,60.0,72.0,179.5
남,17,61.0,81.5,173.5
남,17,72.0,83.5,173.3
남,56,78.0,92.0,164.4
남,63,65.0,85.3,170.4
남,60,70.0,90.5,160.1
남,44,78.0,91.5,171.3
남,54,82.0,90.5,172.1
남,20,54.0,71.4,177.9
남,20,60.0,73.0,178.8
남,20,70.0,79.5,173.6
남,16,100.0,104.1,179.9
남,68,50.0,79.5,153.3
남,57,72.0,92.5,170.9
남,18,72.0,87.5,170.6
남,56,46.0,70.0,158.0
남,69,54.0,73.2,167.7
